Token 1: Type: IDENTIFIER, Text: sdf, Start Position: 3
Token 2: Type: OPERATOR, Text: =, Start Position: 4
Token 3: Type: NUMERIC_LITERAL, Text: 5, Start Position: 6
Token 4: Type: OPERATOR, Text: +, Start Position: 8
Token 5: Type: IDENTIFIER, Text: x56, Start Position: 12
Token 6: Type: OPERATOR, Text: +, Start Position: 14
Token 7: Type: NUMERIC_LITERAL, Text: 56.4, Start Position: 18
Token 8: Type: DELIMITER, Text: ;, Start Position: 19
Token 9: Type: KEYWORD, Text: if, Start Position: 23
Token 10: Type: BRACE, Text: (, Start Position: 24
Token 11: Type: IDENTIFIER, Text: sdf, Start Position: 28
Token 12: Type: OPERATOR, Text: <, Start Position: 29
Token 13: Type: NUMERIC_LITERAL, Text: 54, Start Position: 32
Token 14: Type: BRACE, Text: ), Start Position: 33
Token 15: Type: KEYWORD, Text: if, Start Position: 36
Token 16: Type: IDENTIFIER, Text: sdf, Start Position: 42
Token 17: Type: OPERATOR, Text: =, Start Position: 43
Token 18: Type: NUMERIC_LITERAL, Text: 54, Start Position: 46
Token 19: Type: DELIMITER, Text: ;, Start Position: 47
Token 20: Type: KEYWORD, Text: output, Start Position: 57
Token 21: Type: OPERATOR, Text: <<, Start Position: 57
Token 22: Type: IDENTIFIER, Text: sdf, Start Position: 62
Token 23: Type: DELIMITER, Text: ;, Start Position: 62
